No. de documento,Revisión,Título,Tipo,,Estatus,Archivo,Fecha del hito,Fecha prevista de envío,Creado por,Notas adicionales,Adherencia Metodologica,Area Emisora,Código División,Código/Nombre Alternativo,Emisor/Origen,Especialidad,Estatus de Revisión,Fase,Gerencia/API,Nro. de Contrato,Proveedor,Rendición,Tipo de Documento,WBS,Sustituir,PathdeArchivo,enviado,procesado,peso,fecha_inicio,fecha_termino,existe_doc,Version
4600016256-166-00000-EDPGP-00001,0,ESTADO DE PAGO No1,Documento Externo,PARA INFORMACION,Emitido para información,09024abd9071f6fe.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166-8114-EP-TP-00001_0,00000 - GENERAL,00000 - GENERAL,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Main Content,EDP00 - ESTADO DE PAGO,00000 - GENERAL,,F:\00000 - GENERAL\09024abd9071f6fe.pdf,,,,,,,14
4600016256-166-00000-ODSGP-00001,0,ORDEN DE SERVICIO No166,Documento Externo,PARA INFORMACION,Emitido para información,09024abd9071f367.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,ORDEN DE SERVICIO No166,00000 - GENERAL,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Main Content,ODSGP - ORDEN DE SERVICIO,00000 - GENERAL,,F:\GP - GESTION DE PROYECTOS\09024abd9071f367.pdf,,,,,,,14
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,06024abd8b494db8.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Copia Controlada,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\06024abd8b494db8.pdf,,,,,,,19
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,06024abd8b494e33.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Con Anotaciones,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\06024abd8b494e33.pdf,,,,,,,15
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,06024abd8b494e7b.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Copia No Controlada,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\06024abd8b494e7b.pdf,,,,,,,19
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,09024abd96defbb9.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Main Content,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\09024abd96defbb9.pdf,,,,,,,14
4600017472-038-05283-ACTGP-00001,0,ACTA DE INICIO DE ACTIVIDADES,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c993301.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,ACTGP - ACTA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c993301.pdf,,,,,,,14
4600017472-038-05283-ACTGP-00002,0,ACTA DE ENTREGA DE TERRENO,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c993312.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,ACTGP - ACTA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c993312.pdf,,,,,,,14
4600017472-038-05283-ACTGP-00003,0,ACTA DE RECEPCIÓN DEFINITIVA,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d2f42f5.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,ACTGP - ACTA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d2f42f5.pdf,,,,,,,14
4600017472-038-05283-AUDGP-00001,-,FICHA DOCUMENTAL ODS-38,Documento Externo,PARA REVISION,Emitido para Revisión,09024abd8d8d466f.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,AUDGP - AUDITORIAS,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d8d466f.pdf,,,,,,,14
4600017472-038-05283-EDPGP-00001,0,ESTADO DE PAGO No1,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d339733.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,EDPGP - ESTADO DE PAGO,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d339733.pdf,,,,,,,14
4600017472-038-05283-EDPGP-00002,0,ESTADO DE PAGO No2,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d33977a.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,EDPGP - ESTADO DE PAGO,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d33977a.pdf,,,,,,,14
4600017472-038-05283-EVTGP-00001,0,EVALUACIÓN ODS-38,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d307f1f.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,EVTGP - EVALUACION TECNICA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d307f1f.pdf,,,,,,,14
4600017472-038-05283-INFGP-00001,0,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87945c12.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Copia Controlada,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87945c12.pdf,,,,,,,19
4600017472-038-05283-INFGP-00001,0,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87d1ae64.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Con Anotaciones,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87d1ae64.pdf,,,,,,,15
4600017472-038-05283-INFGP-00001,B,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA REVISION,Emitido para Revisión,09024abd8c7222cf.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c7222cf.pdf,,,,,,,14
4600017472-038-05283-INFGP-00001,0,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d33a552.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d33a552.pdf,,,,,,,14
4600017472-038-05283-INFGP-00002,0,INFORME SEMANAL No2_25/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87945c13.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Copia Controlada,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87945c13.pdf,,,,,,,19
